"player","yrs_in_school","school","conf","g","comp","att","pct","yds","yds_per_att","td","int","adj_yds_per_att","rate","rush_att","rush_yds","rush_avg","rush_td","major_conf"
"Aaron Brooks",4,"Virginia","ACC",34,357,651,0.548387097,5118,7.861751152,33,24,7.216589862,130.2322581,199,547,2.7,14,"1"
"Aaron Ferguson",3,"Louisiana Tech","Big West",21,164,323,0.507739938,1823,5.643962848,2,15,3.678018576,90.93869969,68,3,0,0,"0"
"Aaron Garcia",2,"Washington State","Pac-10",15,132,230,0.573913043,1827,7.943478261,12,16,5.856521739,127.4208696,65,19,0.3,0,"1"
"Aaron Gilbert",2,"Northern Illinois","Big West",19,172,369,0.466124661,2494,6.758807588,16,13,6.040650407,110.6493225,94,17,0.2,0,"0"
"Aaron Karas",3,"Baylor","Big 12",23,321,543,0.591160221,3799,6.996316759,21,25,5.697974217,121.4394107,171,-114,-0.7,2,"1"
"Aaron Leak",3,"Troy","Sun Belt",22,165,381,0.433070866,2207,5.792650919,13,19,4.230971129,93.25144357,165,228,1.4,4,"0"
"Aaron Leak",2,"Troy","Sun Belt",20,164,377,0.435013263,2183,5.790450928,13,19,4.212201592,93.44084881,164,225,1.4,4,"0"
"Aaron Murray",4,"Georgia","SEC",52,921,1478,0.623139378,13166,8.907983762,121,41,9.297023004,158.6092016,286,396,1.4,16,"1"
"Aaron Opelt",4,"Toledo","MAC",39,625,1074,0.581936685,6804,6.335195531,46,29,5.976722533,120.1430168,198,537,2.7,16,"0"
"Aaron Rodgers",2,"California","Pac-10",25,424,665,0.637593985,5469,8.22406015,43,13,8.637593985,150.2700752,160,336,2.1,8,"1"
"Adam Dimichele",3,"Temple","MAC",28,407,674,0.603857567,5024,7.454005935,40,28,6.771513353,134.2753709,209,17,0.1,5,"0"
"Adam Hall",3,"San Diego State","MWC",28,423,752,0.5625,5173,6.878989362,24,21,6.260638298,118.9803191,114,-166,-1.5,1,"0"
"Adam Kennedy",1,"Arkansas State","Sun Belt",13,218,315,0.692063492,2363,7.501587302,11,6,7.342857143,139.9339683,153,524,3.4,4,"0"
"Adam Smith",3,"Duke","ACC",24,228,415,0.54939759,2549,6.142168675,14,10,5.73253012,112.8472289,88,-158,-1.8,2,"1"
"Adam Tafralis",4,"San Jose State","WAC",45,603,1027,0.58714703,7548,7.349561831,52,29,7.091528724,131.5123661,247,563,2.3,9,"0"
"Adam Weber",4,"Minnesota","Big Ten",50,909,1594,0.570263488,10917,6.84880803,72,51,6.312421581,123.0632371,398,873,2.2,10,"1"
"A.J. Doyle",3,"Massachusetts","MAC",20,183,332,0.551204819,1689,5.087349398,9,19,3.054216867,95.35421687,92,183,2,0,"0"
"A.J. Erdely",2,"UAB","CUSA",18,205,339,0.604719764,2331,6.876106195,16,4,7.289085546,131.4466077,129,355,2.8,14,"0"
"A.J. Feeley",4,"Oregon","Pac-10",22,149,282,0.528368794,2175,7.712765957,15,6,7.819148936,130.9219858,37,0,0,1,"1"
"A.J. McCarron",4,"Alabama","SEC",53,686,1026,0.668615984,9019,8.790448343,77,15,9.633528265,162.5434698,119,-50,-0.4,3,"1"
"A.J. Sager",4,"Toledo","MAC",43,391,753,0.519256308,4165,5.531208499,14,39,3.572377158,94.16467463,126,-237,-1.9,4,"0"
"A.J. Suggs",3,"Georgia Tech","ACC",24,304,526,0.577946768,3207,6.096958175,19,20,5.108365019,113.3247148,78,8,0.1,0,"1"
"A.J. Suggs",2,"Georgia Tech","ACC",15,223,387,0.57622739,2422,6.258397933,14,17,5.005167959,113.3457364,55,26,0.5,0,"1"
"Akili Smith",2,"Oregon","Pac-10",23,323,571,0.565674256,5148,9.015761821,45,15,9.409807356,153.0528897,171,367,2.1,6,"1"
"Al Clark",4,"Virginia Tech","Big East",34,193,361,0.534626039,2623,7.265927978,19,9,7.1966759,126.8786704,184,572,3.1,9,"1"
"Alan Cockrell",3,"Tennessee","SEC",33,317,568,0.558098592,3823,6.730633803,26,27,5.507042254,117.9457746,116,-16,-0.1,5,"1"
"Alan Risher",3,"LSU","SEC",33,381,615,0.619512195,4585,7.455284553,31,24,6.707317073,133.404878,377,542,1.4,13,"1"
"Alex Brink",4,"Washington State","Pac-10",46,848,1451,0.584424535,10913,7.521019986,76,43,7.235010338,132.9767057,246,98,0.4,5,"1"
"Alex Carder",4,"Western Michigan","MAC",39,769,1215,0.632921811,8886,7.313580247,74,36,7.198353909,138.8990947,285,600,2.1,10,"0"
"Alex Espinoza",4,"Iowa State","Big 8",42,556,1114,0.499102334,6387,5.733393178,36,42,4.683123878,101.194614,266,-493,-1.9,5,"0"
"Alex Espinoza",3,"Iowa State","Big 8",30,455,891,0.510662177,5307,5.956228956,33,31,5.131313131,106.3622896,218,-289,-1.3,4,"0"
"Alex Gillett",4,"Eastern Michigan","MAC",45,349,660,0.528787879,4453,6.746969697,35,34,5.489393939,116.750303,506,2393,4.7,14,"0"
"Alex Hornibrook",3,"Wisconsin","Big Ten",26,304,499,0.609218437,3906,7.827655311,34,22,7.206412826,140.341483,52,-182,-3.5,0,"1"
"Alex McGough",4,"Florida International","CUSA",46,807,1335,0.604494382,9091,6.809737828,65,37,6.536329588,128.1755805,308,535,1.7,16,"0"
"Alex Smith",3,"Utah","MWC",25,389,587,0.662691652,5203,8.863713799,47,8,9.851788756,164.4211244,286,1072,3.7,15,"0"
"Alex Van Pelt",4,"Pitt","Big East",45,845,1463,0.577580314,10913,7.459330144,64,59,6.519480519,126.7868763,107,-99,-0.9,6,"1"
"Alex Zordich",4,"Buffalo","MAC",24,155,326,0.475460123,1789,5.487730061,10,13,4.306748466,95.79018405,178,729,4.1,3,"0"
"Alfred Jenkins",4,"Arizona","Pac-10",37,431,834,0.516786571,5696,6.829736211,29,36,5.582733813,111.8901679,251,270,1.1,9,"1"
"Allan Evridge",3,"Wisconsin","Big Ten",22,178,357,0.49859944,2380,6.666666667,11,12,5.770308123,109.3053221,127,204,1.6,5,"1"
"Allen Mitchell",3,"South Carolina","Ind",34,158,320,0.49375,2241,7.003125,14,28,3.940625,105.13875,236,369,1.6,6,"0"
"Alli Abrew",3,"San Jose State","Big West",33,160,323,0.495356037,2070,6.408668731,11,13,5.278637771,106.5572755,91,-186,-2,0,"0"
"Andre Vige",3,"Louisiana-Monroe","Sun Belt",22,279,562,0.496441281,3422,6.088967972,23,22,5.145907473,106.4676157,94,-311,-3.3,0,"0"
"Andre Ware",3,"Houston","SWC",27,660,1074,0.61452514,8202,7.636871508,75,28,7.860335196,143.4327747,120,-144,-1.2,6,"0"
"Andre Woodson",4,"Kentucky","SEC",44,791,1278,0.618935837,9360,7.323943662,79,25,7.679968701,139.9014085,232,-490,-2.1,5,"1"
"Andrew Anderson",4,"Southern Mississippi","Ind",44,192,394,0.487309645,2763,7.012690355,17,20,5.591370558,111.7238579,240,206,0.9,10,"0"
"Andrew Ford",2,"Massachusetts","Ind",21,445,718,0.619777159,5589,7.784122563,48,18,7.993036212,144.4116992,105,-233,-2.2,4,"0"
