player,yrs_in_school,school,conf,g,comp,att,pct,yds,yds_per_att,td,int,adj_yds_per_att,rate,rush_att,rush_yds,rush_avg,rush_td,major_conf,height,weight,BMI,success
A.J. Feeley,4,Oregon,Pac-10,22,149,282,0.528368794,2175,7.712765957,15,6,7.819148936,130.9219858,37,0,0,1,1,75,225,28.12276025,0
A.J. McCarron,4,Alabama,SEC,53,686,1026,0.668615984,9019,8.790448343,77,15,9.633528265,162.5434698,119,-50,-0.4,3,1,75,220,27.49781002,0
Aaron Brooks,4,Virginia,ACC,34,357,651,0.548387097,5118,7.861751152,33,24,7.216589862,130.2322581,199,547,2.7,14,1,76,220,26.77894414,0
Aaron Rodgers,2,California,Pac-10,25,424,665,0.637593985,5469,8.22406015,43,13,8.637593985,150.2700752,160,336,2.1,8,1,74,223,28.63118853,1
Akili Smith,2,Oregon,Pac-10,23,323,571,0.565674256,5148,9.015761821,45,15,9.409807356,153.0528897,171,367,2.1,6,1,75,220,27.49781002,0
Alex Smith,3,Utah,MWC,25,389,587,0.662691652,5203,8.863713799,47,8,9.851788756,164.4211244,286,1072,3.7,15,0,76,212,25.80516435,1
Alex Van Pelt,4,Pitt,Big East,45,845,1463,0.577580314,10913,7.459330144,64,59,6.519480519,126.7868763,107,-99,-0.9,6,1,73,220,29.02517946,0
Andrew Luck,3,Stanford,Pac-12,38,713,1064,0.670112782,9430,8.862781955,82,22,9.473684211,162.7556391,163,957,5.9,7,1,76,240,29.21339361,1
Andrew Walter,4,Arizona State,Pac-10,48,777,1416,0.548728814,10617,7.497881356,85,36,7.554378531,132.579661,175,-475,-2.7,0,1,78,230,26.57887433,0
Andy Dalton,4,Texas Christian,MWC,50,812,1317,0.616552771,10314,7.83143508,71,30,7.884586181,140.673956,413,1611,3.9,22,0,74,215,27.60406069,1
Anthony Wright,4,South Carolina,SEC,40,432,796,0.542713568,5641,7.086683417,38,22,6.797738693,124.0256281,258,197,0.8,7,1,73,211,27.83778576,0
Austin Davis,4,Southern Mississippi,CUSA,46,933,1527,0.611001965,10892,7.132940406,83,27,7.424361493,135.4176817,460,1375,3,25,0,74,221,28.37440657,0
Ben Roethlisberger,3,Miami (OH),MAC,38,854,1304,0.654907975,10829,8.304447853,84,34,8.419478528,151.2911043,269,246,0.9,7,0,77,240,28.45953137,1
Billy Joe Hobert,3,Washington,Pac-10,26,248,427,0.580796253,3028,7.091334895,27,13,6.985948478,132.424356,66,290,4.4,8,1,75,230,28.74771047,0
Billy Joe Tolliver,4,Texas Tech,SWC,45,493,1007,0.489572989,6756,6.709036743,38,40,5.676266137,109.8216485,143,-281,-2,6,0,73,217,28.62938156,0
Billy Volek,3,Fresno State,WAC,35,564,934,0.60385439,6385,6.836188437,57,12,7.478586724,135.379015,175,-178,-1.017142857,9,0,74,214,27.47566971,0
Blaine Gabbert,3,Missouri,Big 12,31,568,933,0.608788853,6822,7.311897106,40,18,7.301178992,132.5882101,221,458,2.1,8,1,77,235,27.86662446,0
Blake Bortles,3,UCF,American,37,585,891,0.656565657,7598,8.527497194,56,19,8.824915825,153.7634119,195,561,2.9,15,0,77,232,27.51088032,1
Bobby Hoying,4,Ohio State,Big Ten,45,498,858,0.58041958,7232,8.428904429,57,35,7.921911422,142.609324,168,-81,-0.5,4,1,75,221,27.62280006,0
Brad Johnson,4,Florida State,ACC,45,161,249,0.646586345,1746,7.012048193,14,9,6.510040161,134.8851406,35,54,1.542857143,2,1,77,226,26.79939204,1
Brady Quinn,4,Notre Dame,Ind,49,929,1602,0.579900125,11762,7.342072409,95,39,7.43258427,134.3637953,254,182,0.7,6,1,76,232,28.23961382,0
Brandon Weeden,4,Oklahoma State,Big 12,30,767,1103,0.695376247,9260,8.395285585,75,27,8.653671804,157.6010879,39,-150,-3.8,1,1,76,221,26.90066661,0
Brett Favre,4,Southern Mississippi,Ind,44,613,1169,0.524379812,7695,6.582549187,52,34,6.163387511,116.5936698,193,-89,-0.5,1,0,74,225,28.88797049,1
Brett Hundley,3,UCLA,Pac-12,40,837,1241,0.674456084,9966,8.030620467,75,25,8.332796132,150.8174053,479,1747,3.6,30,1,75,227,28.37274034,0
Brian Brohm,4,Louisville,Big East,44,780,1185,0.658227848,10775,9.092827004,71,24,9.379746835,157.9240506,172,44,0.3,9,1,75,227,28.37274034,0
Brian Griese,3,Michigan,Big Ten,33,307,516,0.59496124,3663,7.098837209,27,15,6.837209302,130.579845,85,-81,-1,4,1,75,215,26.87285979,1
Brian Hoyer,4,Michigan State,Big Ten,39,500,896,0.558035714,6159,6.873883929,35,23,6.5,121.3008929,105,-229,-2.2,2,1,75,215,26.87285979,0
Brian St. Pierre,4,Boston College,Big East,44,457,803,0.569115816,5837,7.268991283,48,32,6.671232877,129.7270237,172,419,2.4,2,1,75,230,28.74771047,0
Brock Berlin,4,Miami (FL),ACC,37,459,787,0.583227446,5752,7.308767471,45,25,7.022871665,132.2322745,80,-152,-1.9,0,1,73,215,28.36551629,0
Brock Huard,3,Washington,Pac-10,30,422,776,0.543814433,5742,7.399484536,51,27,7.148195876,131.2664948,114,-39,-0.3,3,1,76,232,28.23961382,0
Brock Osweiler,3,Arizona State,Pac-12,25,412,680,0.605882353,5082,7.473529412,33,15,7.451470588,134.9688235,137,221,1.6,4,1,79,240,27.0367828,0
Brodie Croyle,4,Alabama,SEC,39,488,869,0.561565017,6382,7.344073648,41,22,7.14844649,128.3530495,183,-177,-1,4,1,74,205,26.32015089,0
Brooks Bollinger,4,Wisconsin,Big Ten,46,414,771,0.536964981,5627,7.298313878,38,17,7.291828794,126.8570687,518,1767,3.4,26,1,73,205,27.04618995,0
Bruce Gradkowski,4,Toledo,MAC,49,766,1123,0.682101514,9225,8.21460374,85,27,8.646482636,157.3820125,248,1018,4.1,14,0,73,220,29.02517946,0
Bryce Petty,4,Baylor,Big 12,37,530,845,0.627218935,8195,9.698224852,62,10,10.63313609,166.0331361,192,338,1.8,21,1,75,230,28.74771047,0
Bubby Brister,2,Tulane,Ind,9,71,140,0.507142857,646,4.614285714,2,4,3.614285714,88.47428571,33,54,1.636363636,0,0,75,205,25.62295933,0
Byron Leftwich,5,Marshall,MAC,61,939,1442,0.651178918,11903,8.254507628,89,28,8.615117892,150.9398058,190,181,1,6,0,77,245,29.05243827,0
Cade McNown,4,UCLA,Pac-10,47,694,1250,0.5552,10708,8.5664,68,41,8.1784,138.86976,313,577,1.8,16,1,73,208,27.44198785,0
Caleb Hanie,4,Colorado State,MWC,37,495,811,0.610357583,6337,7.813810111,39,34,6.889025894,134.1563502,248,186,0.8,8,0,74,236,30.30027127,0
Cam Newton,3,Auburn,SEC,20,191,292,0.654109589,2908,9.95890411,30,7,10.93493151,178.1753425,285,1586,5.6,24,1,78,260,30.04568402,1
Carson Palmer,5,USC,Pac-10,53,927,1569,0.59082218,11818,7.532186106,72,49,7.044614404,131.2499681,255,-197,-0.8,9,1,77,230,27.27371756,1
Carson Wentz,4,North Dakota State,MVC,42,392,612,0.640522876,5115,8.357843137,45,14,8.799019608,153.9477124,216,1028,4.759259259,13,0,77,237,28.10378722,1
Case Keenum,5,Houston,CUSA,57,1546,2229,0.693584567,19217,8.621354868,155,46,9.083445491,160.5979363,300,897,3,23,0,74,209,26.83371481,1
Chad Henne,4,Michigan,Big Ten,47,828,1387,0.596971882,9715,7.004325883,87,37,7.058399423,133.8976208,180,-315,-1.8,3,1,75,228,28.49773038,0
Chad Hutchinson,2,Stanford,Pac-10,22,379,627,0.60446571,4235,6.754385965,20,22,5.813397129,120.692185,118,-451,-3.8,1,1,77,237,28.10378722,0
Chad Pennington,3,Marshall,MAC,38,848,1334,0.635682159,11446,8.580209895,107,30,9.172413793,157.6134933,168,61,0.4,4,0,75,225,28.12276025,1
Charlie Batch,4,Eastern Michigan,MAC,32,579,998,0.580160321,7592,7.607214429,53,31,7.271543086,133.2292585,181,123,0.7,5,0,74,220,28.24601559,0
Charlie Frye,4,Akron,MAC,46,913,1436,0.635793872,11049,7.694289694,64,32,7.582869081,138.462117,375,429,1.1,19,0,76,217,26.41377672,0
Charlie Whitehurst,4,Clemson,ACC,44,817,1368,0.597222222,9665,7.06505848,49,46,6.268274854,124.1637427,266,98,0.4,10,1,76,220,26.77894414,0
Chase Daniel,4,Missouri,Big 12,51,1094,1609,0.67992542,12515,7.778123058,101,41,7.886886265,148.9471722,364,970,2.7,10,1,72,218,29.56578768,0
Chris Chandler,4,Washington,Pac-10,29,326,597,0.546063652,4161,6.969849246,32,27,6.006700168,121.7963149,121,261,2.2,7,1,76,224,27.26583403,0
Chris Miller,4,Oregon,Pac-10,36,560,1015,0.551724138,6681,6.58226601,42,39,5.680788177,116.4338916,180,160,0.9,7,1,74,212,27.21888775,0
Chris Redman,4,Louisville,CUSA,43,1031,1679,0.614055986,12541,7.46932698,84,51,7.103037522,134.5827278,167,-412,-2.5,3,0,75,223,27.87278015,0
Chris Simms,4,Texas,Big 12,41,535,911,0.58726674,7097,7.790340285,58,31,7.532381998,138.3697036,159,-137,-0.9,10,1,76,220,26.77894414,0
Chris Weinke,4,Florida State,ACC,36,650,1107,0.587172538,9839,8.887985547,79,32,9.014453478,151.1450768,110,-366,-3.3,2,1,76,232,28.23961382,0
Christian Ponder,4,Florida State,ACC,35,596,965,0.61761658,6872,7.121243523,49,30,6.737823834,132.1189637,296,833,2.8,10,1,74,222,28.50279755,0
Cleo Lemon,4,Arkansas State,Big West,41,551,1128,0.488475177,7706,6.831560284,48,33,6.366134752,114.4241135,201,-445,-2.2,3,0,74,215,27.60406069,0
Clint Stoerner,4,Arkansas,SEC,41,528,1023,0.516129032,7422,7.255131965,57,37,6.741935484,123.7094819,177,-373,-2.1,5,1,74,210,26.96210579,0
Cody Kessler,4,USC,Pac-12,51,851,1261,0.674861221,10339,8.199048374,88,19,8.916732752,156.3739889,158,-425,-2.7,7,1,73,224,29.55291,0
Cody Pickett,5,Washington,Pac-10,38,792,1373,0.576839039,9916,7.222141296,53,42,6.617625637,124.9704297,249,-186,-0.7,11,1,75,220,27.49781002,0
Colin Kaepernick,4,Nevada,WAC,51,740,1271,0.582218725,10098,7.944925256,82,24,8.38552321,142.4730134,600,4112,6.9,59,0,76,225,27.38755651,1
Colt McCoy,4,Texas,Big 12,53,1157,1645,0.703343465,13253,8.056534954,112,45,8.187234043,155.0062006,447,1571,3.5,20,1,74,209,26.83371481,0
Connor Shaw,4,South Carolina,SEC,43,480,733,0.654843111,6074,8.286493861,56,16,8.832196453,155.9366985,452,1683,3.7,17,1,72,206,27.93831313,0
Craig Krenzel,4,Ohio State,Big Ten,33,328,577,0.568457539,4489,7.779896014,28,21,7.112651646,130.9317158,247,600,2.4,6,1,76,225,27.38755651,0
Curtis Painter,4,Purdue,Big Ten,46,987,1648,0.598907767,11163,6.773665049,67,46,6.330703883,124.623301,225,348,1.5,13,1,76,230,27.99616887,0
Dak Prescott,4,Mississippi State,SEC,49,734,1169,0.627887083,9376,8.020530368,70,23,8.332763045,145.9866553,536,2521,4.7,41,1,74,226,29.01636147,1
Damon Huard,4,Washington,Pac-10,37,458,764,0.59947644,5692,7.45026178,34,28,6.691099476,129.8858639,177,121,0.7,6,1,75,215,26.87285979,0
Dan Marino,4,Pitt,Ind,48,693,1204,0.575581395,8597,7.140365449,79,69,5.873754153,127.7282392,117,-277,-2.4,3,0,76,224,27.26583403,1
Dan Orlovsky,4,Connecticut,Big East,46,916,1567,0.584556477,10706,6.832163369,84,51,6.439693682,127.0264199,143,-285,-2,6,1,77,230,27.27371756,0
Danny Kanell,4,Florida State,ACC,45,529,851,0.621621622,6372,7.487661575,57,26,7.452408931,141.0514689,55,-196,-3.6,1,1,75,218,27.24782993,0
Danny Wuerffel,4,Florida,SEC,46,708,1170,0.605128205,10875,9.294871795,114,42,9.628205128,163.5641026,185,-375,-2,8,1,73,212,27.96971839,0
Daunte Culpepper,3,UCF,Ind,33,721,1097,0.657247037,9341,8.515041021,72,32,8.515041021,153.0760255,371,1003,2.7,19,0,76,264,32.13473297,1
Dave Brown,3,Duke,ACC,29,463,845,0.547928994,5717,6.765680473,42,33,6.002366864,120.2163314,147,53,0.4,7,1,77,230,27.27371756,0
Dave Ragone,4,Louisville,CUSA,41,685,1180,0.580508475,8564,7.257627119,74,29,7.405932203,134.7945763,326,597,1.8,9,0,75,245,30.62256116,0
David Carr,4,Fresno State,WAC,36,565,901,0.627081021,7458,8.277469478,65,22,8.621531632,151.1622642,177,95,0.5,9,0,75,215,26.87285979,0
David Garrard,4,East Carolina,CUSA,44,666,1169,0.569717707,9029,7.723695466,60,39,7.24893071,132.1159966,516,1209,2.3,21,0,73,244,32.19156268,1
Dennis Dixon,4,Oregon,Pac-10,40,444,695,0.638848921,5129,7.379856115,38,21,7.113669065,137.8756835,258,1208,4.7,12,1,75,195,24.37305888,0
Derek Anderson,4,Oregon State,Pac-10,49,768,1515,0.506930693,11249,7.425082508,79,57,6.774917492,122.7469307,182,-533,-2.9,8,1,78,229,26.463314,0
Derek Carr,4,Fresno State,MWC,44,1087,1630,0.666871166,12843,7.879141104,113,24,8.603067485,152.8044172,164,190,1.2,5,0,74,214,27.47566971,1
Donovan McNabb,4,Syracuse,Big East,45,548,938,0.584221748,8389,8.943496802,77,26,9.337953092,155.0933902,465,1561,3.4,19,1,74,240,30.81383519,1
Doug Flutie,4,Boston College,Ind,46,690,1308,0.527522936,10759,8.225535168,70,56,7.369266055,130.9446483,291,969,3.3,7,0,70,180,25.82702472,0
Doug Johnson,4,Florida,SEC,37,504,907,0.55567806,7114,7.843439912,62,36,7.424476295,136.0723264,100,-372,-3.7,3,1,74,225,28.88797049,0
Doug Pederson,3,Lousiana-Monroe,Ind,33,554,1003,0.552342971,6304,6.285144566,33,41,5.103688933,110.7114656,150,90,0.6,3,0,75,220,27.49781002,0
Drew Bledsoe,3,Washington State,Pac-10,30,532,979,0.543411645,7373,7.531154239,46,34,6.908069459,126.1626149,162,-173,-1.1,10,1,77,238,28.22236861,1
Drew Brees,4,Purdue,Big Ten,45,1026,1678,0.611442193,11792,7.027413588,90,45,6.893325387,132.5106079,253,900,3.6,14,1,72,209,28.34518177,1
Drew Henson,3,Michigan,Big Ten,24,196,351,0.558404558,2631,7.495726496,22,7,7.851851852,135.4997151,60,74,1.233333333,1.2,1,76,233,28.36133629,0
Drew Stanton,4,Michigan State,Big Ten,45,543,846,0.641843972,6524,7.711583924,42,28,7.215130024,138.7252955,332,1512,4.6,15,1,75,236,29.49765075,0
EJ Manuel,4,Florida State,ACC,43,600,897,0.668896321,7741,8.629877369,47,28,8.273132664,150.4285396,298,827,2.8,11,1,77,237,28.10378722,0
Eli Manning,4,Ole Miss,SEC,43,829,1363,0.608217168,10119,7.424064563,81,35,7.457079971,137.659281,128,-135,-1.1,5,1,76,218,26.53549919,1
Elvis Grbac,4,Michigan,Big Ten,48,522,835,0.625149701,6460,7.736526946,71,31,7.766467066,148.1365269,80,-239,-3,1,1,77,232,27.51088032,0
Eric Zeier,4,Georgia,SEC,44,838,1402,0.597717546,11153,7.955064194,67,37,7.723252496,137.0864479,158,-312,-2,4,1,73,214,28.23358366,0
Erik Kramer,2,North Carolina State,ACC,22,334,616,0.542207792,4602,7.470779221,30,28,6.399350649,123.9558442,164,-179,-1.1,6,1,73,200,26.38652678,0
Geno Smith,4,West Virginia,Big 12,44,988,1465,0.67440273,11662,7.960409556,98,21,8.653242321,153.5159044,245,342,1.4,4,1,75,218,27.24782993,0
