player,yrs_in_school,school,conf,g,comp,att,pct,yds,yds_per_att,td,int,adj_yds_per_att,rate,rush_att,rush_yds,rush_avg,rush_td,major_conf,height,weight,BMI
Austin Allen,4,Arkansas,SEC,27,359,607,0.591433278,5045,8.311367381,36,21,7.940691928,141.6112026,109,-142,-1.3,4,1,72,210,28.48080465
Baker Mayfield,4,Oklahoma,Big 12,48,1026,1497,0.685370741,14607,9.75751503,131,30,10.60587842,175.3699399,404,1083,2.7,21,1,73,215,28.36551629
Brad Kaaya,3,Miami (FL),ACC,38,720,1188,0.606060606,9968,8.390572391,69,24,8.643097643,146.2131313,94,-386,-4.1,4,1,76,214,26.0486093
C.J. Beathard,4,Iowa,Big Ten,40,454,782,0.58056266,5562,7.112531969,40,19,7.042199488,129.8219949,224,429,1.9,10,1,74,219,28.11762461
Chase Litton,3,Marshall,CUSA,34,728,1198,0.607679466,8335,6.957429048,72,31,6.994991653,133.8681135,117,-77,-0.7,2,0,77,230,27.27371756
Cooper Rush,4,Central Michigan,MAC,50,1022,1648,0.620145631,12891,7.822208738,90,55,7.412621359,139.0682039,215,-118,-0.5,5,0,75,228,28.49773038
Danny Etling,5,LSU,SEC,37,563,973,0.578622816,7076,7.272353546,43,19,7.277492292,129.6283659,201,70,0.3,7,1,74,222,28.50279755
Davis Webb,4,California,Pac-12,35,841,1367,0.615215801,9852,7.207022677,83,34,7.302121434,137.1227505,77,-100,-1.3,9,1,77,229,27.15513618
Deshaun Watson,3,Clemson,ACC,38,814,1207,0.674399337,10168,8.424192212,90,32,8.722452361,157.507208,435,1934,4.4,26,1,74,221,28.37440657
DeShone Kizer,2,Notre Dame,Ind,25,422,695,0.607194245,5805,8.352517986,47,19,8.474820144,147.7294964,264,997,3.8,18,1,76,233,28.36133629
J.T. Barrett,4,Ohio State,Big Ten,50,769,1211,0.635012386,9434,7.790255987,104,30,8.393063584,152.3250206,656,3263,5,43,1,73,224,29.55291
Jake Rudock,3,Michigan,Big Ten,38,666,1080,0.616666667,7836,7.255555556,54,27,7.130555556,134.1133333,192,560,2.9,12,1,75,212,26.49788965
